,Sentence,sentiment
0,geosolut technolog leverag benefon gp solut provid locat base search technolog commun platform locat relev multimedia content new power commerci model,Positive
1,esi low bk real possibl,Negative
2,last quarter componenta net sale doubl period year earlier move zero profit loss,Positive
3,accord chamber commerc major construct compani finland oper russia,Neutral
4,swedish buyout firm sold remain percent stake almost eighteen month take compani public finland,Neutral
5,spi would surpris see green close,Negative
6,shell billion bg deal meet sharehold skeptic,Negative
7,ssh commun secur corp stock exchang releas octob pm compani updat full year outlook estim result remain loss full year,Positive
8,kone net sale rose first nine month,Neutral
9,stockmann depart store total floor space squar metr stockmann invest project price tag eur million,Neutral
10,circul revenu increas finland sweden,Positive
11,sap disappoint softwar licens real problem cloud growth trail msft orcl goog crm adb http,Negative
12,subdivis made sale revenu last year eur million eur million oper profit eur million eur million,Positive
13,vike line cancel servic,Neutral
14,ahlstrom corpor stock exchang announc total new share ahlstrom corpor subscrib option right compani stock option program ii,Positive
15,fb gone green day,Neutral
16,msft sql server revenu grew sql server premium revenu grow http,Positive
17,accord tehtaat ceo matti karppinen compani aim deliv fish product custom day earlier current,Neutral
18,compani share quot nasdaq omx helsinki rautaruukki oyj rtrk,Positive
19,elcoteq se list nasdaq omx helsinki,Neutral
20,two contract turntabl anod vibrocompactor deliv gansu hualu aluminum co ltd anoth unnam costum,Neutral
21,aviva friend life top forecast ahead billion pound merger,Positive
22,stead base soft drink usual teho energi drink made fresh water,Positive
23,compani plan increas unit specialist staff sever dozen depend market situat,Positive
24,compani close last year turnov four million euro,Neutral
25,shire ceo step drive get baxalta board talk,Neutral
26,costco premier retail dividend play http cost,Positive
27,build gross floor area sq also includ apart,Negative
28,first instal cinema seri conclud profil finnish inventor olavi linden whose person artist journey work fiskar led dozen design award,Positive
29,welcom,Positive
30,stockmann swedish sector compani ab lindex enter agreement septemb wherebi stockmann subsidiari make public tender offer lindex issu share,Positive
31,huhtamaki oyj stock exchang releas huhtamaki capit market day institut investor analyst held espoo septemb start pm finnish time,Neutral
32,pleas welcom tapek noma cramo group,Positive
33,profit tax eur million,Positive
34,royal dutch shell buy bg group nearli billion,Neutral
35,financialwir tm press releas servic receiv compens news opinion distribut,Negative
36,assa abloy kaupth bank gave neutral recommend share price target crown euro swedish lock maker assa abloy ab,Positive
37,item includ restructur cost year earlier dilut ep stood versu loss per share eur,Neutral
38,bank post net profit lt mn,Positive
39,aapl afternoon selloff usual brutal get readi lose ton money,Negative
40,tsla recal pretti much everi singl model x cnnbrk got short even work jump money trade,Positive
41,dolc gabbana ask european union declar marimekko corpor unikko floral pattern trademark invalid continu disput two compani,Negative
42,intercontinent hotel global room revenu lag estim,Negative
43,accord finnish pension insur compani varma varma recipi two third revenu pension cover competit tender finland,Positive
44,portion million record part win prior patent disput finnish phone maker nokia oyj,Positive
45,l g still pay price dividend cut crisi chief say,Negative
46,volum invest two phase project estim usd eur mn,Neutral
47,russia account lagarder magazin divis revenu eur mn usd mn usa,Neutral
48,compani also estim alreadi carri invest lead increas net sale reach eur million,Positive
49,profit account period eur mn,Positive
50,six breweri record percent growth domest beer sale last year million liter million liter sold,Positive
51,compani result tax total eur mn eur mn correspond period,Neutral
52,systeemitiimi sale project resourc also strengthen director paul skogberg said,Positive
53,tesco share price jump sale top estim,Positive
54,fine print,Positive
55,price log clearli improv also price pulpwood gone,Positive
56,thu sysopen digia accord chapter section finnish compani act obtain titl share sentera redeem,Positive
57,dilut earn per share ep fell eur eur,Positive
58,eastern time block contract chang hand bid price,Negative
59,recent technolog deliveri includ refineri technolog anrak aluminium iron ore pellet plant tata steel iron ore sinter plant bhushan steel,Neutral
60,vip similar pattern like begin may u sell go much higher drop,Neutral
61,firm gener sale mln eur,Negative
62,stora enso also meet labor author employ econom develop centr repres govern order find solut,Positive
63,astrazeneca profit sale stalwart fade,Positive
64,rt andrewnyquist chartolog yahoo http yhoo crazi look chart near breakout resist line,Negative
65,bullish stock twitter dip yhoo gdx googl stz gold ew vz celg sbux scti http,Neutral
66,finnish geosentr net sale decreas eur,Neutral
67,cohen steer share repres share capit vote right,Positive
68,staff recruit japan complement network close servic locat countri worldwid,Neutral
69,paper compani neg territori stora enso r shed pct eur pct eur b pct lower eur,Negative
70,central administr dissolv appropri part transfer oper activ group administr end year,Neutral
71,oper profit quarter amount sale bn,Positive
72,atria chose delight attract consum age group atria fresh rang microwav meal,Positive
73,finnish solut provid affecto oyj hel said today slip net loss eur usd second quarter profit eur correspond period year earlier,Positive
74,us sanction put allianc plan jeopardi,Negative
75,profit period eur mn eur mn,Positive
76,profit period eur mn eur mn,Positive
77,oper profit fell eur mn eur mn second quarter,Positive
78,howev sale return growth ceo pekka eloholma said,Positive
79,oper profit total eur mn net sale,Positive
80,chang market situat tougher price competit substanti reduc demand bread packag manufactur kauhava plant accord compani,Neutral
81,connect deal digia employ person nokia oslo silicon valley usa,Neutral
82,brazilian unit finnish secur solut provid sign new client last year onlin news sourc resel web quot divis commerci director vladimir say,Positive
83,fair valu compani invest properti went eur billion end eur billion year earlier,Positive
84,dealer said share larg hit investor disappoint refin margin usd per barrel quarter perform ship unit saw ebit drop mln eur mln eur year amid fall volum tanker rate,Negative
85,testament qualiti lte solut commit japanes market ad,Positive
86,compani aim final negoti sign contract start octob,Neutral
87,metso foundri jyvaskyla oy discontinu product line septemb compani said,Neutral
88,total six poll analyst rate two gave buy accumul three gave hold one gave sell,Neutral
89,septemb finnish group agre buy danish compani rose poultri combin cash stock,Positive
90,yang doubl bottom,Neutral
91,tesco share price grocer face sfo investig outcom,Positive
92,aapl news becom bullish http,Neutral
93,gs engin instal valv liquefi natur ga lng plant built uae lng extract ga plant oper gasco ruwai uae,Positive
94,percentag share vote right calcul proport total number share regist trade regist total number vote right relat,Positive
95,said ground rumor circul market month,Negative
96,lember said matter topic also estonia bill draft social affair ministri would scrap pension favor condit,Positive
97,moodi said gave p senior unsecur p debt rate finnish lender aktia bank bn euro note emtn program march,Negative
98,tsla recal,Neutral
99,liquid provid interrupt may aspocomp group oyj share trade cent aspocomp stock exchang releas,Neutral
100,hargreav lansdown buck weak market see asset rise percent,Negative
101,pm omx helsinki index pct lower,Negative
102,decis mean temporari fix durat compani nastola jyvaskyla unit southern central finland respect,Positive
103,valu order eur,Positive
104,ms laakso respons hkscan hr function develop group smarket area,Positive
105,fiskar also engag global suppli marin energi equip solut servic associ compani wartsila corpor,Positive
106,aberdeen asset manag gain foothold china,Positive
107,finland domin rail compani vr plan set infect passeng trip separ carriag,Negative
108,novemb finnish govern decreas ownership compani percent percent,Neutral
109,finnish exel composit technolog compani design manufactur market composit profil tube variou industri applic report net sale decreas second quarter eur mn eur mn correspond period,Neutral
110,bavelloni nst joint ventur bavelloni tool complet semiproduct produc itali tool sold diapol brand,Neutral
111,tool patent pend design allow consum lay entir project remov plate use multipl clear stamp kind,Positive
112,googl short upper bb overbought,Neutral
113,light curfew curl latest bestsel treat eye perfect read light luceplan,Positive
114,world largest maker magazin paper tuesday report profit drop lower paper price higher cost strong euro hurt revenu,Negative
115,total valu contract eur million,Positive
116,prerequisit inclus program receipt gain key employe acquir aspo share amount determin board advanc maximum,Positive
117,dore eaton sinc act busi unit manag eaton power control busi unit sinc januari,Neutral
118,sq sq ft store copenhagen premier shop district inaugur today strengthen compani presenc nordic capit,Positive
119,financi statement first quarter tikkurila report discontinu oper,Neutral
120,world second largest stainless steel maker said net profit period surg million us million us per share million per share previou year,Positive
121,name applic jot autom oynam inventor mammila tuomo piirainen mika kellokoski mikaappl adat file applic date,Negative
122,netflix grow effort creat loyal custom nflx http,Positive
123,omx nordic index compris trade nordic stock nasdaq omx exchang close point thursday,Neutral
124,aapl nibbl small long via buy chart,Neutral
125,oper margin aker yard cruis ferri divis went first quarter,Neutral
126,tyc break new high lot technic look great right,Positive
127,eero katajavuori current group vice presid human resourc take sabbat start octob,Neutral
128,what lulu number look good great good think confer call instil confid,Positive
129,adjust measur carri phase secur deliveri capabl,Positive
130,alma media corpor press releas march tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local paper tyrvaan sanomat paikallissanomat appear sastamala neighbour municip bought suomen paikallissanomat oy,Neutral
131,temporari affect entir workforc also implement,Neutral
132,meet media analyst held day stonesoft headquart helsinki italahdenkatu interim report present stonesoft ceo ilkka hiidenheimo,Neutral
133,finnish manufactur approxim seven forest machin monthli half machin export,Neutral
134,facebook near buy point last week face differ technic test today http fb aapl nflx http,Neutral
135,februari finnish broadband data commun system provid telest oyj hel said wednesday net profit rocket lift dividend propos,Positive
136,free ha heeeeeer come pump glad pick end day get readi bull ride,Positive
137,finnish technolog group aspocomp group oyj omx helsinki issu third quarter report thursday novemb post oper profit compar loss third quarter,Positive
138,build complex consist offic retail space total squar metr compani said,Neutral
139,finnish insur compani fennia kesko group end loyal custom cooper,Positive
140,unit plan oper second half full stream,Neutral
141,itg share deal estim euro,Positive
142,plant expect enter commerci oper,Neutral
143,aspo also investig sale opportun kaukomarkkinat electron busi,Positive
144,bg group appoint new ceo one month earli,Neutral
145,acquisit immedi posit impact aspocomp financi result,Positive
146,finnair passeng load factor measur number sold seat share avail seat drop percentag point septemb,Positive
147,rt lng look prime also eght pois run,Positive
148,also pct volum weight averag price stock,Neutral
149,coke dividend googl dividend passiv incom coke take goog ko http,Positive
150,profit tax eur mn eur mn year earlier,Positive
151,subsidiari set facil manufactur interconnect print circuit board pcb nokia special econom zone sriperumbudur near chennai,Positive
152,crm sep call sinc entri bang http,Neutral
153,dilut loss per share stood versu first half,Neutral
154,rapala said estim make save mln eur year centralis french oper one site,Neutral
155,vmw got nice push today follow small sweeper may c morn,Positive
156,top consensu forecast earn euro share,Positive
157,r loan,Neutral
158,futur compani intend look outsid compani cooper actor sector,Neutral
159,need readi window open rosberg said,Positive
160,tonn asphalt mix use contract,Neutral
161,pa jpmorgan chase co nyse jpm pohjoa bank joint senior unsecur deal,Negative
162,ctrp break good vol parser buy signal notic bob lang comment look fast,Positive
163,sale finland decreas januari sale outsid finland drop,Neutral
164,pulp product finnish also liquid employe loos job,Negative
165,nordea cheapest also coupl debt,Negative
166,jussi pesonen member sampo board sinc renounc seat sampo board,Neutral
167,tesla recal model x car http tsla,Neutral
168,adjust chang group structur divis net sale increas,Positive
169,make matter difficult compani said grappl higher oil ga price push cost energi raw materi transport,Negative
170,amend propos simplifi propos plan increas incent key employe stay compani,Positive
171,solut expand includ ground staff task,Positive
172,oper loss total eur mn compar profit eur mn third quarter,Positive
173,fedday look sharp move equiti aapl hd low fb see uvxi tvix get hammer even though market,Neutral
174,net sale total eur mn eur mn correspond period,Neutral
175,consequ work council withdrawn petit suspend reorganis,Negative
176,ceo erkki happi compani perform,Positive
177,compar net sale expect increas line group target,Positive
178,follow transact lundbeck worldwid right nalmefen exclud north america mexico turkey,Neutral
179,govern start last month put percent stake teliasonera auction bloc,Neutral
180,report goe provid detail profil ten lead european specialti chemic compani brief profil major player,Neutral
181,oper profit net sale period increas respect compar correspond quarter,Positive
182,compani expect net sale whole previou year level,Neutral
183,compani headquart sievi finland list nordic exchang helsinki,Neutral
184,commiss incom increas eur mn lend volum rose,Positive
185,finnish compani sold uk oper consist staff offic london birmingham manchest part deal hampden juli properti casualti arm sampo industri,Negative
186,build home improv trade sale decreas eur mn,Positive
187,innova build locat close downtown immedi vicin paviljonki travel center within walk distanc heart citi thank trade fair bridg,Positive
188,finnish textil cloth group marimekko oyj post net profit mln euro mln compar mln euro mln,Positive
189,main strength cooper project lie merg two larg compani,Positive
190,sharehold right put agenda agm item within compet gener meet,Neutral
191,kazgiprotsvetmet outotec finland sign agreement strateg cooper market provid miner process metallurg plant relat servic kazakhstan surround countri,Positive
192,due rapid decreas net sale personnel reduct carri wider scale initi expect,Neutral
193,govern instead propos exchang state stake lmt teliasonera stake lattelecom,Neutral
194,stora due releas earn,Neutral
195,oper result million neg,Negative
196,nq got hit hard lower look like found support http,Positive
197,avc systemhau net sale eur million usd,Neutral
198,compani establish base station feet foot mount everest enabl mountain climber summit surf internet even send video exploit,Negative
199,offer custom solut base renew raw materi,Positive
200,survey conduct taloustutkimu sampo life show compani badli prepar lose key staff member,Negative
201,antti orkola presid kemira growhow industri solut unit told thomson financi news compani put open mine price phosphat quit depress long time,Negative
202,pretax profit group life insur busi increas,Positive
203,make avail follow market analys cement pakistan cement malaysia cement taiwan cement philippin analys give clear overview actual situat futur outlook cement industri asian countri,Positive
204,compani serv approxim custom countri,Neutral
205,rt alphatrend vmarket still act weak http spi qqq xlf smh iwm,Negative
206,oper profit total eur mn eur mn year earlier,Positive
207,one instal elev elev enabl effici use build core space,Positive
208,helsinki afx outokumpu said agre sell hitura nickel mine finland canadian group belveder resourc ltd mln eur worth belveder share,Positive
209,went long ilmn,Neutral
210,social network servic trend compris signific share internet traffic today appeal mid user,Positive
211,total order valu book fourth quarter remaind book second quarter,Positive
212,johnson matthey share price slump compani post result,Positive
213,previou share subscript stock option,Negative
214,affectogenimap build highli customis solut custom finland baltic countri,Positive
215,close transact schedul take place januari,Neutral
216,howev offer probabl made current valuat partli deriv deal compani merg stock market shell,Neutral
217,oper result period decreas profit turnov decreas compar,Positive
218,administr indic need job cut irish insur next month,Negative
219,net sale expect level,Neutral
220,technic indic stock bullish p give nok posit star buy rank,Positive
221,revenu quarter total billion percent billion fourth quarter,Neutral
222,oper process facil independ well partnership municip,Positive
223,number bodili injuri case quadrupl,Negative
